name,song_name
Joker,Everybody Plays The Fool 
Joker,The Moon Is A Silver Dollar 
Joker,Slap That Bass 
Joker,If You're Happy And You Know It 
Joker,Send In The Clowns 
Joker,My Name Is Carnival 
Joker,Smile 
Joker,That's Life 
Joker,Murray's Late Night 
Joker,Toy Dept. (Toy Waltz) 
Joker,Bedding Dept. 
Joker,Descends In Lift 
Joker,In Basement 
Joker,Joins Girl In Bedding Dept. 
Joker,Charlie Meets Burglars 
Joker,Bottle Bursts 
Joker,That's Life 
Joker,Rock 'n' Roll (Part 2) 
Joker,Love Theme 
Joker,Spanish Flea 
Joker,White Room 
Joker,Send In The Clowns 
Spider-Man: Into the Spider-Verse,People Get Up and Drive Your Funky Soul (Remix) 
Spider-Man: Into the Spider-Verse,Theme from Spiderman 
Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse) 
Spider-Man: Into the Spider-Verse,Capullito de Alelí 
Spider-Man: Into the Spider-Verse,Familia (Spider-Man: Into the Spider-Verse) 
Spider-Man: Into the Spider-Verse,Invincible 
Spider-Man: Into the Spider-Verse,Save the Day 
Spider-Man: Into the Spider-Verse,Memories 
Spider-Man: Into the Spider-Verse,Chemical Calisthenics 
Spider-Man: Into the Spider-Verse,Hypnotize 
Spider-Man: Into the Spider-Verse,Buss This 
Spider-Man: Into the Spider-Verse,The Number Song (Cut Chemist Remix) 
Spider-Man: Into the Spider-Verse,The Choice Is Yours 
Spider-Man: Into the Spider-Verse,Apache 
Spider-Man: Into the Spider-Verse,Mary Mary 
Spider-Man: Into the Spider-Verse,Because I Got It Like That 
Spider-Man: Into the Spider-Verse,Spidey Bells (A Hero's Lament) 
Spider-Man: Into the Spider-Verse,Scared of the Dark 
Spider-Man: Into the Spider-Verse,Mumble Rap 
Spider-Man: Into the Spider-Verse,St. Elmo's Fire (Man in Motion) 
Spider-Man: Into the Spider-Verse,To the End 
Spider-Man: Into the Spider-Verse,Hide 
Spider-Man: Into the Spider-Verse,Want It Here 
Spider-Man: Into the Spider-Verse,Start a Riot 
Spider-Man: Into the Spider-Verse,What's Up Danger 
Spider-Man: Into the Spider-Verse,Elevate 
Spider-Man: Into the Spider-Verse,Way Up 
Spider-Man: Into the Spider-Verse,Home 
Spider-Man: Into the Spider-Verse,Salsa en la Calle 
Spider-Man: Into the Spider-Verse,Taut Walk 
Old Boy,Bring My Love 
Old Boy,Winter 
Old Boy,Waltz 
Braveheart,It looks like we don't have any Soundtracks for this title yet.
Toy Story,You've Got a Friend in Me 
Toy Story,Strange Things 
Toy Story,I Will Go Sailing No More 
Toy Story,Pop Goes the Weasel 
Toy Story,Hakuna Matata 
Toy Story,You've Got a Friend in Me 
Amadeus,"Le Nozze di Figaro (The Marriage of Figaro), K. 492, Act IV, Ah Tutti Contenti "
Amadeus,"Don Giovanni, K. 527, A Cenar Teco, Da Qual Tremore Insolito... "
Amadeus,"Axur, Re d'Ormus: Finale "
Amadeus,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384, Marten Aller Arten "
Amadeus,"Die Zauberflöte (The Magic Flute), K. 620, Aria No. 14, Der Holle Rache Kocht "
Amadeus,"Concerto for Piano in E Flat Major, K. 482, 3rd Movement, Allegro "
Amadeus,"Concerto for Piano in D Minor, K. 466 "
Amadeus,"Symphony No. 25 in G Minor, K. 183: 1st Movement "
Amadeus,"Lacrimosa, Requiem Mass in D, K. 626 "
Amadeus,"Harpsichord Piece in F Major, K. 33B "
Amadeus,Caro Mio Ben 
Amadeus,"Adagio and Rondo for Glass Harmonica, Flute, Oboe, Viola and Cello, K. 617 "
Amadeus,"Confutatis, Requiem Mass in D, K. 626 "
Amadeus,Serenade K. 361 Gran Partita for 13 Wind Instruments: Adagio 
Amadeus,"Le Nozze di Figaro (The Marriage of Figaro), K. 492: Act 1 - Non Più Andrai (Overture) "
Amadeus,"A Little Night Music Serenade in G for Strings 'Eine Kleine Nachtmusik', K. 525, 1st Movement "
Amadeus,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384: Turkish Finale "
Amadeus,"Mass in C Minor, K. 427: Kyrie "
Amadeus,"Concerto for Flute and Harp, K. 299 2nd Movement "
Amadeus,"Allegro Moderato from Symphony No. 29 in A Major, K. 201 "
Amadeus,Concerto No. 10 for Two Pianos and Orchestra in E-Flat Minor (K. 365) 3rd Movement 
Amadeus,"Allegro Maestoso from Sinfonia Concertante for Violin, Viola, and Orchestra in E-flat Major, K. 364 "
Amadeus,"Piano Concerto No. 15 in B-Flat, K. 450: III. Allegro "
Amadeus,Ich Möchte Wohl Der Kaiser Sein (K539) 
Amadeus,Die Zauberflöte (The Magic Flute) Act 2 - Pa-Pa-Pa-Pa-Pa-Pa-Papagena! 
Amadeus,Die Zauberflöte (The Magic Flute) Act 2 - Ein Mädchen Oder Weibchen 
Amadeus,"Six German Dances, K. 509: No. 1 in D Major "
Amadeus,"Don Giovanni, K. 527: Overture "
Amadeus,"Axur, Re d'Ormus: Act IV: Son Queste Le Speranze "
Amadeus,"Rex Tremendae Majestatis, Requiem, K. 626 "
Amadeus,"Le Nozze di Figaro (The Marriage of Figaro), K. 492 /Act I: Duettino: Cinque...Dieci...Venti "
Amadeus,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384 Act I, Singt dem Grossen Bassa Lieder "
Amadeus,"Le Nozze di Figaro (The Marriage of Figaro), K. 492 /Act III: Finale: Amanti Costanti (Ecco la Marcia) "
Amadeus,"Die Entführung aus dem Serail (Abduction from the Seraglio), K. 384 Act II: Duet: Vivat Bacchus! Bacchus Lebe! "
Amadeus,"Die Zauberflöte (The Magic Flute), K. 620/Act I: Overture "
Amadeus,"Dies Irae, Requiem Mass in D, K. 626 "
Amadeus,"Introitus, Requiem Mass in D, K. 626 "
Amadeus,"Don Giovanni, K. 527: Act II, Commendatore Scene "
Amadeus,"Don Giovanni, K. 527: Act I, La Ci Darem La Mano "
Amadeus,Bubak and Hungaricus 
Amadeus,Stabat Mater; Quando Corpus Morietur and Amen 
Coco,Remember Me 
Coco,Everyone Knows Juanita 
Coco,Un Poco Loco 
Coco,Proud Corazón 
Coco,The World Es Mi Familia 
Coco,Allá en el Rancho Grande 
Coco,La Llorona 
Coco,Ciudad Victoria 
Coco,Dora's Dance 
Coco,La Petenera 
Coco,La Zandunga 
Coco,Jálale 
Coco,"Hoy No Fío, Mañana Sí "
Coco,Remember Me (Dúo) 
Coco,Much Needed Advice 
Inglourious Basterds,The Green Leaves of Summer 
Inglourious Basterds,The Verdict 
Inglourious Basterds,L'incontro Con La Figlia 
Inglourious Basterds,White Lightning (Main Title) 
Inglourious Basterds,Il Mercenario (Ripresa) 
Inglourious Basterds,Slaughter 
Inglourious Basterds,Algeri: 1 Novembre 1954 (Battle of Algiers) 
Inglourious Basterds,The Surrender 
Inglourious Basterds,One Silver Dollar 
Inglourious Basterds,Hound Chase (Intro) 
Inglourious Basterds,Al di là della legge 
Inglourious Basterds,Bath Attack 
Inglourious Basterds,Claire's First Appearence 
Inglourious Basterds,The Fight 
Inglourious Basterds,Davon geht die Welt nicht unter 
Inglourious Basterds,The Man with the Big Sombrero 
Inglourious Basterds,Ich wollt ich waer ein Huhn 
Inglourious Basterds,Main Theme 
Inglourious Basterds,Cat People (Putting Out the Fire) 
Inglourious Basterds,Mystic and Severe 
Inglourious Basterds,The Devil's Rumble 
Inglourious Basterds,What'd I Say 
Inglourious Basterds,Zulus 
Inglourious Basterds,Tiger Tank 
Inglourious Basterds,Eastern Condors 
Inglourious Basterds,Un Amico 
Inglourious Basterds,Rabbia e Tarantella 
The Boat,La Paloma 
The Boat,J'Attendrai 
The Boat,It's a Long Way to Tipperary 
The Boat,Erzherzog-Albretch-Marsch 
The Boat,Sing Nachtigall Sing 
The Boat,Heimat deine Sterne 
The Boat,Mon Gars 
The Boat,Westerwaldlied 
The Boat,Muss i' denn zum Städtele hinaus 
The Boat,Parlez-moi d'Amour 
The Boat,Varsity Rag 
Avengers: Endgame,Dear Mr. Fantasy 
Avengers: Endgame,Ant-Man Theme 
Avengers: Endgame,Let's Go 
Avengers: Endgame,Supersonic Rocket Ship 
Avengers: Endgame,Doom and Gloom 
Avengers: Endgame,Doctor Strange Theme 
Avengers: Endgame,Hey Lawdy Mama 
Avengers: Endgame,Come and Get Your Love 
Avengers: Endgame,"It's Been a Long, Long Time "
Avengers: Endgame,La Cucaracha 
Avengers: Endgame,Captain Marvel Theme 
Avengers: Endgame,Make Way For Tomorrow Today 
Princess Mononoke,Mononoke-Hime/Princess Mononoke Theme Song 
Princess Mononoke,Princess Mononoke Theme Song (Mononoke-Hime) 
Princess Mononoke,The Tatara Women Work Song (Tatara Fumu Onnatachi) 
Once Upon a Time in America,God Bless America 
Once Upon a Time in America,'Summertime' from 'Porgy and Bess' 
Once Upon a Time in America,Night and Day 
Once Upon a Time in America,Yesterday 
Once Upon a Time in America,Amapola 
Once Upon a Time in America,La Gazza Ladra 
Once Upon a Time in America,St. James Infirmary Blues 
Once Upon a Time in America,Cockeye's Song/Childhood Memories 
Once Upon a Time in America,Poverty 
Good Will Hunting,Big Strong Man 
Good Will Hunting,If I Had the Last Dream in the World 
Good Will Hunting,Baker Street 
Good Will Hunting,Room 
Good Will Hunting,Boys Better 
Good Will Hunting,We Still Need More Than Anyone Can Give 
Good Will Hunting,No Name #3 
Good Will Hunting,Runaway 
Good Will Hunting,Why Do I Lie? 
Good Will Hunting,"Grand Sonata in B-Flat Major, Op. 30/D.617 "
Good Will Hunting,Somebody's Baby 
Good Will Hunting,"Six Grandes Marches, Op. 40/D.819, No. 5 "
Good Will Hunting,Say Yes 
Good Will Hunting,As the Rain 
Good Will Hunting,People 
Good Will Hunting,Between the Bars 
Good Will Hunting,Handle on My Heart 
Good Will Hunting,Fisherman's Blues 
Good Will Hunting,How Can You Mend a Broken Heart 
Good Will Hunting,Tommy Bhetty's Waltz 
Good Will Hunting,Angeles 
Good Will Hunting,Heart & Soul 
Good Will Hunting,Danny Boy 
Good Will Hunting,Miss Misery 
Good Will Hunting,Afternoon Delight 
Toy Story 3,We Belong Together 
Toy Story 3,You've Got A Friend In Me 
Toy Story 3,You've Got A Friend In Me (para Buzz Español) 
Toy Story 3,Dream Weaver 
Toy Story 3,Le Freak 
Requiem for a Dream,Bialy & Lox Conga 
Requiem for a Dream,Bugs' Got a Devilish Grin Conga 
Requiem for a Dream,Summer Overture 
3 Idiots,Aal Izz Well 
3 Idiots,Zoobi Doobi 
3 Idiots,Behti Hawa Sa Tha Woh 
3 Idiots,Give Me Some Sunshine 
3 Idiots,Jaane Nahin Denge Tujhe 
3 Idiots,Zoobi Doobi - Remix 
3 Idiots,Aal Izz Well - Remix 
Your Name.,Yumetourou (Dream Lanturn) 
Your Name.,Zen Zen Zense 
Your Name.,Sparkle 
Your Name.,Nande mo naiya (It's Nothing) 
Singin' in the Rain,Fit as a Fiddle 
Singin' in the Rain,Temptation 
Singin' in the Rain,All I Do Is Dream of You 
Singin' in the Rain,Make 'em Laugh 
Singin' in the Rain,I've Got a Feelin' You're Foolin' 
Singin' in the Rain,The Wedding of the Painted Doll 
Singin' in the Rain,Should I? 
Singin' in the Rain,Beautiful Girl 
Singin' in the Rain,You Were Meant For Me 
Singin' in the Rain,Moses Supposes 
Singin' in the Rain,Good Morning 
Singin' in the Rain,Singin' in the Rain 
Singin' in the Rain,Would You 
Singin' in the Rain,Broadway Rhythm Ballet 
Singin' in the Rain,Singin in the Rain (in A-Flat) 
Singin' in the Rain,You Are My Lucky Star 
Singin' in the Rain,Main Title 
Singin' in the Rain,Dignity 
Singin' in the Rain,Stunt Montage 
Singin' in the Rain,First Silent Picture 
Singin' in the Rain,Gene Dreams of Kathy 
Singin' in the Rain,Good Night Kathy 
Singin' in the Rain,From Dueling to Dancing 
Singin' in the Rain,Would You? (End Title) 
Singin' in the Rain,March: News of the Day 
Star Wars: Episode VI - Return of the Jedi,Lapti Nek 
Star Wars: Episode VI - Return of the Jedi,Ewok Celebration 
Star Wars: Episode VI - Return of the Jedi,Jedi Rocks 
Reservoir Dogs,Little Green Bag 
Reservoir Dogs,Stuck in the Middle with You 
Reservoir Dogs,I Gotcha 
Reservoir Dogs,Fool for Love 
Reservoir Dogs,Hooked on a Feeling 
Reservoir Dogs,Coconut 
Reservoir Dogs,Harvest Moon 
Reservoir Dogs,Magic Carpet Ride 
Reservoir Dogs,Wes Turned Country 
Reservoir Dogs,Country's Cool 
Reservoir Dogs,It's Country 
Eternal Sunshine of the Spotless Mind,Everybody's Gotta Learn Sometime 
Eternal Sunshine of the Spotless Mind,Something 
Eternal Sunshine of the Spotless Mind,Keep On Looking 
Eternal Sunshine of the Spotless Mind,Tere Sang Pyar Main 
Eternal Sunshine of the Spotless Mind,Mere Man Tera Pyasa 
Eternal Sunshine of the Spotless Mind,"Concerto No. 8 in D Major, Opus 99 "
Eternal Sunshine of the Spotless Mind,Wada Na Tod 
Eternal Sunshine of the Spotless Mind,Some Kinda Shuffle 
Eternal Sunshine of the Spotless Mind,Nola's Bounce 
Eternal Sunshine of the Spotless Mind,Light And Day/Reach For The Sun 
Eternal Sunshine of the Spotless Mind,"Oh My Darling, Clementine "
Eternal Sunshine of the Spotless Mind,Row Row Row Your Boat 
Eternal Sunshine of the Spotless Mind,Mr. Blue Sky 
2001: A Space Odyssey,Gayane Ballet Suite -- Gayane's Adagio 
2001: A Space Odyssey,Atmospheres 
2001: A Space Odyssey,Lux Aeterna 
2001: A Space Odyssey,Requiem 
2001: A Space Odyssey,The Blue Danube 
2001: A Space Odyssey,Thus Spoke Zarathustra 
2001: A Space Odyssey,Adventures 
2001: A Space Odyssey,Happy Birthday to You 
2001: A Space Odyssey,Off Beats Mood 
2001: A Space Odyssey,Daisy Bell (A Bicycle Built for Two) 
High and Low,The Magic Begins 
High and Low,It's Now or Never 
High and Low,Die Forelle 
High and Low,"Forellenquintett (Trout Quintet), 4th movement "
Citizen Kane,It Can't Be Love 
Citizen Kane,Una voce poco fa 
Citizen Kane,A Poco No 
Citizen Kane,Funeral March 
Citizen Kane,A Hot Time in the Old Town 
Citizen Kane,The Battle Cry of Freedom 
Citizen Kane,The Girl I Left Behind Me 
Citizen Kane,In A Mizz 
Citizen Kane,"Song Without Words, Op. 62 No.3 (Funeral March) "
Citizen Kane,Aria from Salammbo 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Theme 
Citizen Kane,Charlie Kane 
Citizen Kane,Pilgrim's Chorus 
Capernaum,It looks like we don't have any Soundtracks for this title yet.
Lawrence of Arabia,The Man Who Broke the Bank at Monte Carlo 
Lawrence of Arabia,Overture 
Lawrence of Arabia,Main Title 
Lawrence of Arabia,Miracle 
Lawrence of Arabia,Nefud Mirage 
Lawrence of Arabia,Rescue of Gasim 
Lawrence of Arabia,Brining Gasim Into Camp 
Lawrence of Arabia,Arrival At Auda's Camo 
Lawrence of Arabia,The Voice Of The Guns 
Lawrence of Arabia,In Whose Name Do You Ride? 
Lawrence of Arabia,Continuation Of The Mircal 
Lawrence of Arabia,Sun's Anvil 
Lawrence of Arabia,Lawrence And Bodyguard 
Lawrence of Arabia,That Is The Desert 
Lawrence of Arabia,End Title 
M,Le Halle du Roi de la Montagne 
M,La Marseillaise 
North by Northwest,It's a Most Unusual Day 
North by Northwest,I've Grown Accustomed to Her Face 
North by Northwest,Singin' in the Rain 
The Hunt,Moondance 
The Hunt,Julen har bragt velsignet bud 
The Hunt,Jingle Bells 
The Hunt,Mit Hjerte altid vanker 
The Hunt,In the Bleak Midwinter 
The Hunt,I Was Not To You What You Were To Me 
The Hunt,Es ist ein Ros' entsprungen 
The Hunt,A Child Is Born in Bethlehem 
Vertigo,"Symphony No. 34 in C K. 338, 2nd Movement, Andante di Molto (piu tosto allegretto) "
Vertigo,Sardis #4 
Amélie,Les Jours Tristes (instrumental) 
Amélie,Naomi 
Amélie,Whispering 
Amélie,Adagio pour cordes 
Amélie,With a Song in My Heart 
Amélie,Guilty 
Amélie,Sweet and Lovely 
Amélie,Dancing in the Dark 
Amélie,Ciribiribin 
Amélie,Fire 
Amélie,Brouillard 
Amélie,Got a Date with an Angel 
Amélie,Father's Little Dividend 
Amélie,Rose du Sud 
Amélie,Si tu n'Étais pas là 
Amélie,Générique journal télévisé
Amélie,The Child 
Amélie,Up Above My Head 
A Clockwork Orange,"Symphony No.9 in D Minor, Opus 125 Choral: II. Scherzo. Molto vivace "
A Clockwork Orange,The Thieving Magpie (Overture) 
A Clockwork Orange,Molly Malone 
A Clockwork Orange,William Tell (Overture) 
A Clockwork Orange,I Want to Marry a Lighthouse Keeper 
A Clockwork Orange,Singin' In the Rain 
A Clockwork Orange,Overture to the Sun 
A Clockwork Orange,March from 'Funeral Music for Queen Mary' 
A Clockwork Orange,Pomp and Circumstance Marches No.1 and 4 
A Clockwork Orange,Orange Minuet 
A Clockwork Orange,The Sea And Sinbad's Ship 
A Clockwork Orange,Biblical Daydreams 
A Clockwork Orange,Timesteps 
A Clockwork Orange,Country Lane 
Full Metal Jacket,Hello Vietnam 
Full Metal Jacket,These Boots Are Made For Walkin' 
Full Metal Jacket,Wooly Bully 
Full Metal Jacket,The Marines Hymn 
Full Metal Jacket,Chapel Of Love 
Full Metal Jacket,Surfin' Bird 
Full Metal Jacket,"Paint It, Black "
Full Metal Jacket,Mickey Mouse Club March 
Full Metal Jacket,Happy Birthday 
Scarface,Scarface (Push It to the Limit) 
Scarface,Rush Rush 
Scarface,Turn Out the Night 
Scarface,Vamos a Bailar 
Scarface,Tony's Theme 
Scarface,She's on Fire 
Scarface,Shake It Up 
Scarface,Dance Dance Dance 
Scarface,I'm Hot Tonight 
Scarface,Gina's and Elvira's Theme 
Scarface,Strangers in the Night 
Come and See,Die Walküre 
Come and See,Lacrimosa 
Come and See,The Sacred War 
Come and See,Korobeiniki 
Come and See,Im Wald im grünen Walde 
Come and See,Blue Danube 
Come and See,Tannhäuser 
Come and See,Moya Marusitschka 
Double Indemnity,Tangerine 
Double Indemnity,My Ideal 
Double Indemnity,"Symphony No 8 in B minor, Unfinished "
The Apartment,Adeste Fideles (O Come All Ye Faithful) 
The Apartment,"Capriccio Italien, Op. 45 "
The Apartment,Jealous Lover 
The Apartment,Auld Lang Syne 
The Apartment,Magdalena 
The Apartment,Lonely Room 
The Apartment,There is a Tavern in the Town 
The Apartment,Little Brown Jug 
The Apartment,Jingle Bells 
Taxi Driver,Late For The Sky 
Taxi Driver,Hold Me Close 
Taxi Driver,"The Pilgrim, Chapter 33 "
Taxi Driver,Ling Ting Tong 
To Kill a Mockingbird,It looks like we don't have any Soundtracks for this title yet.
Up,Habanera 
Up,The Spirit of Adventure 
The Sting,Easy Winners 
The Sting,The Entertainer 
The Sting,Gladiolus Rag 
The Sting,Pineapple Rag 
The Sting,Rag Time Dance 
The Sting,Solace 
The Sting,Listen to the Mockingbird 
The Sting,The Washington Post 
The Sting,The Cascades 
L.A. Confidential,Ac-cent-tchu-ate the Positive 
L.A. Confidential,Oh! Look at Me Now 
L.A. Confidential,Silent Night 
L.A. Confidential,Silver Bells 
L.A. Confidential,The Christmas Blues 
L.A. Confidential,Mele Kalikimaka 
L.A. Confidential,Look for the Silver Lining 
L.A. Confidential,Jingle Bells 
L.A. Confidential,Hit the Road to Dreamland 
L.A. Confidential,Wheel of Fortune 
L.A. Confidential,Makin' Whoopee 
L.A. Confidential,The Lady is a Tramp 
L.A. Confidential,Powder Your Face with Sunshine 
L.A. Confidential,How Important Can It Be 
L.A. Confidential,Looking at You 
L.A. Confidential,At Last 
L.A. Confidential,But Not for Me 
Hamilton,Alexander Hamilton 
Hamilton,"Aaron Burr, Sir "
Hamilton,My Shot 
Hamilton,The Story of Tonight 
Hamilton,The Schuyler Sisters 
Hamilton,Farmer Refuted 
Hamilton,You'll Be Back 
Hamilton,Right Hand Man 
Hamilton,A Winter's Ball 
Hamilton,Helpless 
Hamilton,Satisfied 
Hamilton,The Story of Tonight (Reprise) 
Hamilton,Wait for It 
Hamilton,Stay Alive 
Hamilton,Ten Duel Commandments 
Hamilton,Meet Me Inside 
Hamilton,That Would Be Enough 
Hamilton,Guns and Ships 
Hamilton,History Has Its Eyes On You 
Hamilton,Yorktown (The World Turned Upside Down) 
Hamilton,What Comes Next? 
Hamilton,Dear Theodosia 
Hamilton,Tomorrow There'll Be More of Us 
Hamilton,Non-Stop 
Hamilton,What'd I Miss 
Hamilton,Cabinet Battle #1 
Hamilton,Take a Break 
Hamilton,Say No to This 
Hamilton,The Room Where It Happens 
Hamilton,Schuyler Defeated 
Hamilton,Cabinet Battle #2 
Hamilton,Washington On Your Side 
Hamilton,One Last Time 
Hamilton,I Know Him 
Hamilton,The Adams Administration 
Hamilton,We Know 
Hamilton,Hurricane 
Hamilton,The Reynolds Pamphlet 
Hamilton,Burn 
Hamilton,Blow Us All Away 
Hamilton,Stay Alive (Reprise) 
Hamilton,It's Quiet Uptown 
Hamilton,The Election of 1800 
Hamilton,Your Obedient Servant 
Hamilton,Best of Wives and Best of Women 
Hamilton,The World Was Wide Enough 
Hamilton,"Who Lives, Who Dies, Who Tells Your Story "
Hamilton,My Shot (Rise Up Remix) 
Hamilton,Dear Theodosia 
Hamilton,Exit Music 
Heat,Always Forever Now 
Heat,Late Evening In Jersey 
Heat,Last Nite 
Heat,Force Marker 
Heat,Mystery Man 
Heat,New Dawn Fades 
Heat,God Moving Over The Face Of The Waters 
Heat,The Monkey King 
Heat,The Last Lagoon 
Heat,Gringatcho Demento 
Heat,The Mighty Limpopo 
Heat,Ultramarine 
Heat,Arabic Agony 
Heat,La Bas 
Heat,Celon 
Heat,Gloradin 
Heat,In November 
Heat,Black Cloud 
Heat,Armenia 
Heat,The Thrill Is Gone 
Heat,Will Gaines 
Heat,By The Time I Get To Phoenix 
Heat,Top O' The Morning To Ya 
Heat,Concerto For Violoncello And Orchestra 
Heat,Get Up To This 
Heat,Steel Cello Lament 
Ikiru,J'ai Deux Amours 
Ikiru,Come On-A My House 
Ikiru,Gondora no uta 
Ikiru,Bibbidi-Bobbidi-Boo 
Ikiru,Happy Birthday 
Ikiru,Too Young 
Ikiru,Parade of the Tin Soldiers 
Snatch,Super Moves 
Snatch,Diamond 
Snatch,Hernando's Hideaway 
Snatch,Viva Las Vegas 
Snatch,Golden Brown 
Snatch,Ghost Town 
Snatch,Dreadlock Holiday 
Snatch,Cross The Tracks (We Better Go Back) 
Snatch,Disco Science 
Snatch,Lucky Star 
Snatch,"Hot Pants (I'm Coming, Coming, I'm Coming) "
Snatch,Sensual Woman 
Snatch,Angel 
Snatch,Are You There? 
Snatch,Fuckin' in the Bushes 
Snatch,Don't You Just Know It 
Snatch,Hava Nagila 
Snatch,Kosha Nostra Theme 
Snatch,Taverna 
Die Hard,Singin' in the Rain 
Die Hard,Winter Wonderland 
Die Hard,Christmas in Hollis 
Die Hard,Skeletons 
Die Hard,Let It Snow! Let It Snow! Let It Snow! 
Die Hard,Ode to Joy 
Die Hard,Jingle Bells 
Die Hard,"Brandenburg Concerto No. 3 In G Major, (Allegro Moderato) "
Die Hard,We've Got Each Other 
Die Hard,Resolution & Hyperspace 
Die Hard,Let It Snow! Let It Snow! Let It Snow! 
Indiana Jones and the Last Crusade,You're a Sweet Little Headache 
Indiana Jones and the Last Crusade,Just a Gigolo 
Indiana Jones and the Last Crusade,Cavalry Charge - Bugle Call 
Indiana Jones and the Last Crusade,Königgrätzer Marsch 
A Separation,It looks like we don't have any Soundtracks for this title yet.
Metropolis,It looks like we don't have any Soundtracks for this title yet.
Bicycle Thieves,It looks like we don't have any Soundtracks for this title yet.
Incendies,You and Whose Army? 
Incendies,Like Spinning Plates 
Incendies,Nami Nami 
1917,I Am a Poor Wayfaring Stranger 
Like Stars on Earth,Mera Jahan 
Like Stars on Earth,Taare Zameen Par 
Like Stars on Earth,Kholo Kholo 
Like Stars on Earth,Bum Bum Bhole 
Like Stars on Earth,Jame Raho 
Like Stars on Earth,Maa 
Like Stars on Earth,Bheja Kam 
Like Stars on Earth,Ishaan's Theme 
Batman Begins,Folletto!...Folletto! 
Batman Begins,Happy Birthday To You 
Batman Begins,"Divertimento in D Major, K.136 (2nd movement) "
For a Few Dollars More,For A Few Dollars More 
For a Few Dollars More,For A Few Dollars More [Sequence 3 
For a Few Dollars More,Aces High 
For a Few Dollars More,Prison Break 
For a Few Dollars More,Chapel Shootout 
For a Few Dollars More,The Watchers Are Being Watched 
For a Few Dollars More,The Wild One 
For a Few Dollars More,Indio's Flashback 
For a Few Dollars More,To El Paso 
For a Few Dollars More,The Showdown 
For a Few Dollars More,The Vice Of Killing 
For a Few Dollars More,Mortimer & The Chest 
For a Few Dollars More,Discovered 
For a Few Dollars More,Slim Murdered 
For a Few Dollars More,Indio & Nino 
For a Few Dollars More,Carillon 
For a Few Dollars More,Indio's Flashback Pt. 2 
For a Few Dollars More,Watch Chimes 2 
For a Few Dollars More,Sixty Seconds To What? 
For a Few Dollars More,"Goodbye, Colonel! "
For a Few Dollars More,Occhio Per Occhio 
For a Few Dollars More,Eye For An Eye 
For a Few Dollars More,Watch Chimes 
Dangal,Haanikaarak Bapu 
Dangal,Dhaakad 
Dangal,Gilehriyaan 
Dangal,Dangal 
Dangal,Naina 
Dangal,Dhaakad 
Dangal,Idiot Banna 
Downfall,When I Am Laid In Earth 
Downfall,Blutrote Rosen 
Downfall,Davon geht die Welt nicht unter 
Downfall,Die Blauen Dragoner Sie Reiten 
The Batman,Something In The Way 
The Batman,Ave Maria 
The Kid,It looks like we don't have any Soundtracks for this title yet.
Some Like It Hot,Runnin' Wild 
Some Like It Hot,Liebesträume 
Some Like It Hot,Sugar Blues 
Some Like It Hot,Down Among the Sheltering Palms 
Some Like It Hot,Randolph Street Rag 
Some Like It Hot,I Wanna Be Loved by You 
Some Like It Hot,Park Avenue Fantasy (Stairway to the Stars) 
Some Like It Hot,I'm Thru with Love 
Some Like It Hot,Sweet Georgia Brown 
Some Like It Hot,By the Beautiful Sea 
Some Like It Hot,Some Like It Hot 
Some Like It Hot,La Cumparsita 
Some Like It Hot,"Sweet Sue, Just You "
Some Like It Hot,For He's a Jolly Good Fellow 
Some Like It Hot,Sugar Blues - Runnin' Wild 
The Father,Cold Wind Var. 1 - Day 1 
The Father,Cold Wind Var. 1 - Day 2 
The Father,Low Mist Var. 1 - Day 5 
The Father,Low Mist Var. 2 - Day 1 
The Father,Low Mist Var. 2 - Day 5 
The Father,Cold Wind Var. 2 - Day 4 
The Father,My Journey 
The Father,"King Arthur, or The British Worthy (1691), Act 3: What Power Art Thou? "
The Father,"Norma, Act 1: Casta Diva (Norma, Chorus) "
The Father,Les Pêcheurs de Perles - Romance: Je crois entendre encore 
The Father,Hospital Nightmare 
The Father,Ocean Currents 
The Father,Legends of Rub'al Khali 
The Father,On the Hour 
All About Eve,Liebestraum 
All About Eve,Manhattan 
All About Eve,Poinciana 
All About Eve,Beau Soir 
All About Eve,That Old Black Magic 
All About Eve,Blue Moon 
All About Eve,How About You? 
All About Eve,Stormy Weather (Keeps Rainin' All the Time) 
All About Eve,Thou Swell 
All About Eve,Symphony No. 4 in E-flat major (Romantic) 
All About Eve,Linger Awhile 
Green Book,That Old Black Magic 
Green Book,Tired of Hanging Around 
Green Book,One Mint Julep 
Green Book,Pretty Lil Thing 
Green Book,Throw It Out Of Your Mind 
Green Book,So Long Lover's Island 
Green Book,Let Me Feel It 
Green Book,A Letter From My Baby 
Green Book,"Goodbye, My Lover, Goodbye "
